설치기관명,소재지도로명주소,전화번호,데이터관리부서,데이터기준일자
밝음나눔안과,"경기도 안양시 만안구 안양로 307, 금상타워 7,8층 (안양동)",031-360-7542,안양시 만안구보건소,2025-12-22
안양예술고등학교,경기도 안양시 만안구 양화로25번길 40,070-5077-0561,안양시 만안구보건소,2025-12-22
현대건설월곶판교선제6공구건설공사현장사무실,"경기도 안양시 만안구 장내로143번길 15, 연성빌딩 4층 (안양동)",031-468-9372,안양시 만안구보건소,2025-12-22
"한솔아파트101,102동","경기도 안양시 만안구 현충로 25 (안양동, 한솔아파트)",031-472-4072,안양시 만안구보건소,2025-12-22
흥화브라운빌아파트입주민대표자회의,"경기도 안양시 만안구 병목안로 220 (안양동, 수리산흥화브라운빌)",031-346-1114,안양시 만안구보건소,2025-12-22
세림아파트,"경기도 안양시 만안구 예술공원로64번길 9 (안양동, 세림아파트)",031-473-0054,안양시 만안구보건소,2025-12-22
안양어반포레자연&e편한세상3단지APT,"경기도 안양시 만안구 냉천로 125 (안양동, 안양어반포레자연앤이편한세상 3단지)",031-468-3351,안양시 만안구보건소,2025-12-22
보영운수(주),"경기도 안양시 만안구 창박로 46, 보영운수 (안양동)",070-7330-1036,안양시 만안구보건소,2025-12-22
삼영운수(주),"경기도 안양시 만안구 일직로 119, 안양시내버스공영차고지 (석수동)",070-7330-1037,안양시 만안구보건소,2025-12-22
안양역푸르지오더샵아파트생활지원센터,"경기도 안양시 만안구 안양천서로 249 (안양동, 안양역푸르지오더샵아파트)",031-441-2006,안양시 만안구보건소,2025-12-22
안양시수리장애인단기보호센터,"경기도 안양시 만안구 냉천로 39, 평생교육센터,수리복지관,만안구청어린이집 (안양동)",031-465-0958,안양시 만안구보건소,2025-12-22
성결대학교,경기도 안양시 만안구 성결대학로 53 성결대학교,031-467-8386,안양시 만안구보건소,2025-12-22
모트라스주식회사(안양),경기도 안양시 만안구 덕천로 102,031-463-1431,안양시 만안구보건소,2025-12-22
큰샘어린이도서관,"경기도 안양시 만안구 삼덕로 106, 삼덕공원관리사무소 1층 (안양동)",031-8045-6431,안양시 만안구보건소,2025-12-22
안양도시공사삼덕공원,"경기도 안양시 만안구 경수대로 1431, 석수역 (석수동)",031-389-5238,안양시 만안구보건소,2025-12-22
한국철도공사석수역,"경기도 안양시 만안구 경수대로1273번길 46, 관악역 (석수동)",031-472-7788,안양시 만안구보건소,2025-12-22
관악역,"경기도 안양시 만안구 만안로 20, 명학역 (안양동)",031-471-7788,안양시 만안구보건소,2025-12-22
명학역,"경기도 안양시 만안구 냉천로153번길 15, 만안노인복지회관 (안양동)",031-441-7788,안양시 만안구보건소,2025-12-22
만안노인복지회관,경기도 안양시 만안구 박달로 337-53 (박달동),031-8045-6076,안양시 만안구보건소,2025-12-22
안양시,"경기도 안양시 경기도 안양시 동안구 시민대로 235, 안양시청 (관양동)",031-8045-5857,안양시 만안구보건소,2025-12-22
안양4동복지회관,경기도 안양시 만안구 냉천로193번길 37 안양4동복지회관 (안양동),031-8045-3633,안양시 만안구보건소,2025-12-22
만안구행정지원과,"경기도 안양시 만안구 안양로 128, 만안구청 (안양동)",031-8045-3233,안양시 만안구보건소,2025-12-22
안양6동행정복지센터,경기도 안양시 만안구 안양로170번길 23 안양6동 행정복지센터 (안양동),031-8045-3650,안양시 만안구보건소,2025-12-22
코카콜라음료주식회사,경기도 안양시 만안구 박달로 337 (박달동),031-8045-1408,안양시 만안구보건소,2025-12-22
안양중학교,경기도 안양시 만안구 와룡로 53  (석수동),070-7090-3150,안양시 만안구보건소,2025-12-22
호현동행정복지센터,경기도 안양시 만안구 박달로 440 박달2동 행정복지센터 (박달동),031-8045-3733,안양시 만안구보건소,2025-12-22
충훈동복지회관,경기도 안양시 만안구 충훈로90번길 47 석수3동복지회관 (석수동),031-8045-3976,안양시 만안구보건소,2025-12-22
안양서초등학교,경기도 안양시 만안구 양화로37번길 32  (안양동),070-7114-2200,안양시 만안구보건소,2025-12-22
안양2동행정복지센터,경기도 안양시 만안구 안양로384번길 50 안양2동 행정복지센터 (안양동),031-8045-3610,안양시 만안구보건소,2025-12-22
석수초등학교,경기도 안양시 만안구 석수로 110  (석수동),031-474-0480,안양시 만안구보건소,2025-12-22
디엘이앤씨㈜,경기도 안양시 만안구 현충로 126(안양동),031-446-9585,안양시 만안구보건소,2025-12-22
㈜노루페인트,"경기도 안양시 만안구 박달로 351, 주식회사 노루페인트 (박달동)",031-467-6026,안양시 만안구보건소,2025-12-22
안양해솔학교,"경기도 안양시 만안구 호암로30번길 61, 안양해솔학교 (석수동)",031-471-7568,안양시 만안구보건소,2025-12-22
안양남부시장상인회,경기도 안양시 만안구 장내로140번길 51(안양동),031-449-7400,안양시 만안구보건소,2025-12-22
성문고등학교,"경기도 안양시 만안구 성결대학로64번길 9, 성문중,고등학교 (안양동)",031-380-4582,안양시 만안구보건소,2025-12-22
아르테자이아파트,경기도 안양시 만안구 경수대로1166번길 10(안양동),031-471-9181,안양시 만안구보건소,2025-12-22
안양도시공사 새물공원,경기도 안양시 만안구 석천로 1 새물공원 (박달동),031-389-5375,안양시 만안구보건소,2025-12-22
안양도시공사 서조체육시설,경기도 안양시 만안구 박달동 203번지,031-389-5376,안양시 만안구보건소,2025-12-22
두산위브더아티움아파트,경기도 안양시 만안구 예술공원로 51(안양동),031-471-2822,안양시 만안구보건소,2025-12-22
안양도시공사 병목안캠핑장,경기도 안양시 만안구 병목안로247번길 37(안양동),031-389-5292,안양시 만안구보건소,2025-12-22
안양도시공사안양역중앙지하도상가,"경기도 안양시 만안구 안양로 지하301, 중앙지하상가 (안양동)",031-289-5337,안양시 만안구보건소,2025-12-22
안양외국어고등학교,"경기도 안양시 만안구 양화로37번길 36, 안양외국어고등학교 (안양동)",031-470-4000,안양시 만안구보건소,2025-12-22
안양주공뜨란채아파트,"경기도 안양시 만안구 안양천서로 289  (안양동, 주공뜨란채)",031-441-6202,안양시 만안구보건소,2025-12-22
석수역푸르지오아파트,"경기도 안양시 만안구 삼성산길 8(석수동, 석수역푸르지오아파트)",031-471-1048,안양시 만안구보건소,2025-12-22
연현중학교,경기도 안양시 만안구 석수로 462,031-8033-0508,안양시 만안구보건소,2025-12-22
안양시청소년상담복지센터,경기도 안양시 만안구 안양로263번길 31 안양시청소년상담복지센터 (안양동),031-446-1243,안양시 만안구보건소,2025-12-22
석수2동행정복지센터,경기도 안양시 만안구 안양로 496  (석수동),031-8045-3751,안양시 만안구보건소,2025-12-22
충훈동행정복지센터,"경기도 안양시 만안구 충훈로90번길 36, 충훈동 행정복지센터 (석수동)",031-8045-3710,안양시 만안구보건소,2025-12-22
경인교육대학교학생군사교육단,"경기도 안양시 만안구 삼막로 155, 경인교육대학교 (석수동)",031-470-6019,안양시 만안구보건소,2025-12-22
안양문화고등학교,"경기도 안양시 만안구 양화로37번길 36, 안양문화고등학교 (안양동)",031-470-4119,안양시 만안구보건소,2025-12-22
근명고등학교,"경기도 안양시 만안구 삼덕로 49, 근명여자정보고등학교 (안양동)",031-8045-8751,안양시 만안구보건소,2025-12-22
안일초등학교,"경기도 안양시 만안구 안양천서로 339, 안일초등학교 (안양동)",031-444-1522,안양시 만안구보건소,2025-12-22
박달중학교,"경기도 안양시 만안구 박달로418번길 70, 박달중학교 (박달동)",031-361-3819,안양시 만안구보건소,2025-12-22
박달1동행정복지센터,경기도 안양시 만안구 양화로127번길 9,031-8045-3983,안양시 만안구보건소,2025-12-22
코오롱하늘채아파트(석수동),경기도 안양시 만안구 충훈로 92,031-474-2242,안양시 만안구보건소,2025-12-22
석수럭키아파트,경기도 안양시 만안구 석수로 40,031-471-6371,안양시 만안구보건소,2025-12-22
안양호암초등학교,"경기도 안양시 만안구 예술공원로103번길 73, 호암초등학교 (석수동)",070-7114-3732,안양시 만안구보건소,2025-12-22
안양소년원(안양정심여자정보산업학교),경기도 안양시 만안구 삼막로96번길 11(석수동),031-473-3781,안양시 만안구보건소,2025-12-22
안양시수리장애인종합복지관,"경기도 안양시 만안구 냉천로 39, 평생교육센터,수리복지관,만안구청어린이집 (안양동)",031-465-0950,안양시 만안구보건소,2025-12-22
만안초등학교,"경기도 안양시 만안구 안양로384번길 13, 만안초등학교 (안양동)",031-449-2829,안양시 만안구보건소,2025-12-22
삼봉초등학교,"경기도 안양시 만안구 박달로437번길 21, 삼봉초등학교 (박달동)",070-4066-5070,안양시 만안구보건소,2025-12-22
박달초등학교,경기도 안양시 만안구 삼봉로 38  (박달동),031-447-8385,안양시 만안구보건소,2025-12-22
안양역한양수자인리버파크아파트,"경기도 안양시 만안구 안양천서로 357  (안양동, 안양역 한양수자인 리버파크)",031-468-9912,안양시 만안구보건소,2025-12-22
안양성원1차아파트,경기도 안양시 만안구 병목안로 81,031-441-4668,안양시 만안구보건소,2025-12-22
안양삼성래미안아파트,"경기도 안양시 만안구 안양천서로 311(안양동, 삼성래미안아파트)",031-466-2831,안양시 만안구보건소,2025-12-22
석수e편한세상아파트,"경기도 안양시 만안구 경수대로 1193  (석수동, 석수e-편한세상아파트)",031-472-3704,안양시 만안구보건소,2025-12-22
구룡주공그린빌아파트,경기도 안양시 만안구 삼막로 12,031-346-8611,안양시 만안구보건소,2025-12-22
안양고등학교,"경기도 안양시 만안구 삼봉로 46, 안양고등학교 (박달동)",070-4334-4549,안양시 만안구보건소,2025-12-22
안양도시공사 석수체육공원,"경기도 안양시 만안구 안양로 595, 석수체육공원 (석수동)",031-389-5287,안양시 만안구보건소,2025-12-22
삼성초등학교,"경기도 안양시 만안구 경수대로 1240, 삼성초등학교 (석수동)",070-7114-6019,안양시 만안구보건소,2025-12-22
안양시,"경기도 안양시 경기도 안양시 동안구 시민대로 235, 안양시청 (관양동)",031-8045-2211,안양시 만안구보건소,2025-12-22
안양만안경찰서석수지구대,"경기도 안양시 만안구 경수대로 1161, 석수지구대 (안양동)",031-8041-6114,안양시 만안구보건소,2025-12-22
