구분,엔진펌프,수중펌프,마대,비닐(롤),곡괭이(개),삽(개),전기릴선(개),워터댐(개),안전띠(롤),발전기(대)
만안구청,51,10,6750,62,24,98,25,2000,226,4
안양1동,2,8,20,0,2,20,8,220,8,0
안양2동,2,27,600,1,2,22,38,200,7,1
안양3동,2,17,20,4,16,50,16,220,7,0
안양4동,2,15,198,2,8,12,16,290,2,0
안양5동,12,2,100,1,6,40,12,400,7,0
안양6동,4,15,140,4,3,22,16,300,4,0
안양7동,2,50,50,5,6,27,45,200,1,0
안양8동,3,17,500,1,10,24,20,260,7,1
안양9동,8,20,200,4,13,10,14,300,1,0
석수1동,2,15,170,4,15,20,16,250,2,0
석수2동,7,40,300,1,17,53,53,320,6,1
충훈동,15,97,472,2,12,30,100,280,5,0
박달동,6,27,100,5,2,45,24,300,3,0
호현동,5,13,500,1,30,9,13,420,8,0
동안구청,4,55,5900,3,14,74,11,300,10,2
비산1동,2,8,1200,2,5,15,4,0,5,0
비산2동,2,12,450,8,7,44,12,0,1,1
비산3동,1,31,600,2,8,15,13,0,3,0
부흥동,2,4,2000,4,9,25,5,0,5,0
달안동,2,3,500,5,21,29,5,0,2,1
관양동,4,26,450,4,8,25,10,0,2,1
인덕원동,2,11,200,7,9,21,12,0,14,0
부림동,2,4,1000,3,10,20,5,0,2,0
평촌동,2,3,500,2,14,20,4,0,2,0
평안동,2,6,700,5,7,20,5,0,5,0
귀인동,2,5,380,2,8,25,6,0,3,0
호계1동,3,15,400,6,6,28,9,0,8,0
호계2동,2,11,500,3,5,30,3,0,1,1
호계3동,2,8,1000,11,14,20,7,0,30,0
범계동,2,2,90,4,15,13,4,0,0,0
신촌동,2,5,600,5,3,8,5,0,3,0
갈산동,2,4,1000,2,6,30,4,0,1,0
