연번,시설명,주소,용도,급수용량(톤_일), 사용가능인원 
1,범계초등학교 민방위 비상급수시설,경기도 안양시 동안구 동안로 90(호계동),음용수,508,20320 
2,천지유황탕 민방위 비상급수시설,경기도 안양시 동안구 경수대로 619(호계동),생활용수,650,26000 
3,아시아시멘트 민방위 비상급수시설,경기도 안양시 동안구 안양천동로 108(호계동),생활용수,370,14800 
4,호계초등학교 민방위 비상급수시설,경기도 안양시 동안구 경수대로707번길 27(호계동),생활용수,268,10720 
5,호계평촌더샵아이파크아파트 민방위 비상급수시설,"경기도 안양시 동안구 경수대로610번길 36(호계동, 평촌더샵 아이파크)",생활용수,164,6560 
6,민백어린이공원 민방위 비상급수시설,경기도 안양시 동안구 부림로 22(평촌동),음용수,130,5200 
7,평촌중학교 민방위 비상급수시설,경기도 안양시 동안구 관평로 127(평촌동),생활용수,260,10400 
8,한림대성심병원 민방위 비상급수시설,경기도 안양시 동안구 관평로170번길 22(평촌동),생활용수,500,20000 
9,평촌본사우나,경기도 안양시 동안구 흥안대로456번길 11(평촌동),생활용수,250,10000 
10,부안초등학교 민방위 비상급수시설,경기도 안양시 동안구 달안로 113(관양동),생활용수,200,8000 
11,한가람신라아파트 민방위 비상급수시설,"경기도 안양시 동안구 달안로 124(관양동, 한가람신라아파트)",생활용수,100,4000 
12,훼미리사우나 민방위 비상급수시설,경기도 안양시 동안구 관평로170번길 43(관양동),생활용수,280,11200 
13,인덕원역 민방위 비상급수시설(유출지하수),경기도 안양시 동안구 관양동 903-2,생활용수,872,34880 
14,인덕원초등학교 민방위 비상급수시설,경기도 안양시 동안구 관양로 311(관양동),음용수,262,10480 
15,힐스테이트 인덕원베르텍스 아파트 민방위 비상급수시설,경기도 안양시 동안구 평촌동 41-23,음용수,219,8760 
16,달안초등학교 민방위 비상급수시설,경기도 안양시 동안구 동안로 178(비산동),음용수,284,11360 
17,한양스포츠센터 민방위 비상급수시설,경기도 안양시 동안구 동안로 194(비산동),생활용수,200,8000 
18,은하수벽산아파트 민방위 비상급수시설,"경기도 안양시 동안구 시민대로159번길 62(비산동, 은하수벽산아파트)",음용수,350,14000 
19,은하수청구아파트 민방위 비상급수시설,"경기도 안양시 동안구 시민대로159번길 59(비산동, 은하수청구아파트)",생활용수,100,4000 
20,관악부영아파트 민방위 비상급수시설,"경기도 안양시 동안구 학의로 46(비산동, 관악부영아파트)",생활용수,200,8000 
21,비산양묘장 민방위 비상급수시설,경기도 안양시 동안구 평촌대로427번길 60-58(비산동),음용수,191,7640 
22,안양종합운동장(수영장) 민방위 비상급수시설,경기도 안양시 동안구 평촌대로 389(비산동),생활용수,219,8760 
23,미륭체육공원 민방위 비상급수시설,"경기도 안양시 동안구 관악대로 164(비산동, 미륭아파트)",음용수,117,4680 
24,박달2동행정복지센터 민방위 비상급수시설(유출지하수),경기도 안양시 만안구 박달로 470(박달동),생활용수,180,7200 
25,호현마을 민방위 비상급수시설,경기도 안양시 만안구 박달로 287(박달동),음용수,100,4000 
26,박달초등학교 민방위 비상급수시설,경기도 안양시 만안구 삼봉로 38(박달동),음용수,250,10000 
27,(주)노루페인트 민방위 비상급수시설,경기도 안양시 만안구 박달로 351(박달동),생활용수,600,24000 
28,충훈약수터 민방위 비상급수시설,경기도 안양시 만안구 석수로212번길 31(석수동),음용수,100,4000 
29,SK안양충전소 민방위 비상급수시설,경기도 안양시 만안구 안양로 575(석수동),생활용수,100,4000 
30,수리산 천주교 성지 민방위 비상급수시설,경기도 안양시 만안구 병목안로 394(안양동),생활용수,300,12000 
31,양지초등학교 민방위 비상급수시설,경기도 안양시 만안구 병목안로130번길 69(안양동),생활용수,110,4400 
32,신안중학교 민방위 비상급수시설,경기도 안양시 만안구 능곡로 78(안양동),음용수,432,17280 
33,신안초등학교 민방위 비상급수시설,경기도 안양시 만안구 능곡로 52(안양동),생활용수,277,11080 
34,성문고등학교 민방위 비상급수시설,경기도 안양시 만안구 성결대학로64번길 9(안양동),생활용수,100,4000 
35,삼표산업 민방위 비상급수시설,경기도 안양시 만안구 안양천서로 45(안양동),생활용수,166,6640 
36,신성고등학교 민방위 비상급수시설(5),경기도 안양시 만안구 소곡로 93(안양동),음용수,519,20760 
37,신성고등학교 민방위 비상급수시설(4),경기도 안양시 만안구 소곡로 93(안양동),음용수,519,20760 
38,신성고등학교 민방위 비상급수시설(3),경기도 안양시 만안구 소곡로 93(안양동),음용수,370,14800 
39,신성고등학교 민방위 비상급수시설(2),경기도 안양시 만안구 소곡로 93(안양동),음용수,370,14800 
40,신성고등학교 민방위 비상급수시설(1),경기도 안양시 만안구 소곡로 93(안양동),음용수,370,14800 
41,안양소방서(119안전센터) 민방위 비상급수시설,경기도 안양시 만안구 현충로 55(안양동),생활용수,156,6240 
42,샘안양병원 민방위 비상급수시설,경기도 안양시 만안구 삼덕로 9(안양동),생활용수,260,10400 
43,2001아웃렛 민방위 비상급수시설,경기도 안양시 만안구 안양동 627-287 2001아울렛,생활용수,200,8000 
44,안양서초등학교 민방위 비상급수시설,경기도 안양시 만안구 양화로37번길 32(안양동),음용수,273,10920 
45,엔터식스 안양역점(유출지하수),경기도 안양시 만안구 만안로 232(안양동),생활용수,82,3280 
46,삼원프라자호텔 민방위 비상급수시설,경기도 안양시 만안구 장내로139번길 7(안양동),생활용수,288,11520 
